No.,Varietas,Panjang,Besar,Warna,Rasa,Teknik,Musim,Penyakit,PH,Grade Mutu
280,IR 64,6.6,4.2,putih,pulen,SRI,Hujan,tikus,4,Grade C
281,Beras Merah,7.2,1.2,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
282,Beras Hitam,7.3,6.5,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
283,panda wangi,6.6,1.2,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
284,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
285,mi kongga,6.1,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
286,IR 64,6.4,4.3,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
287,Beras Merah,7.5,5.3,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
288,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,5,Grade B
289,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
290,ciheran,7.2,2.3,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
291,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
292,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,penggerek batang,2,Grade D
293,Beras Merah,7.4,5.1,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
294,Beras Hitam,7.4,6.3,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
295,panda wangi,6.2,1.2,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
296,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,Burung,3,Grade D
297,mi kongga,6.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
298,IR 64,6.1,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
299,Beras Merah,7.3,5.1,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
300,Beras Hitam,7.5,6.3,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
301,panda wangi,6.3,1.1,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
302,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
303,mi kongga,6.2,3.3,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
304,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
305,Beras Merah,7.5,5.2,merah,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
306,Beras Hitam,7.2,6.4,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
307,panda wangi,6.4,1.1,coklat,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade A
308,ciheran,7.2,2.4,putih,pulen,SRI,Kemarau,wereng coklat,5,Grade B
309,mi kongga,6.4,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
310,IR 64,6.3,4.3,putih,pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
311,Beras Merah,7.2,5.2,merah,sangat pulen,SRI,Kemarau,Burung,5,Grade C
312,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,5,Grade B
313,panda wangi,6.4,1.4,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade D
314,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
315,mi kongga,6.5,3.2,putih,sangat pulen,SRI,Hujan,tikus,2,Grade C
316,IR 64,6.6,4.3,putih,pulen,SRI,Hujan,Burung,2,Grade C
317,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
318,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
319,panda wangi,6.6,1.1,coklat,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
320,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,tikus,3,Grade D
321,mi kongga,6.1,3.5,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
322,IR 64,6.4,4.5,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
323,Beras Merah,7.5,5.5,merah,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade C
324,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,3,Grade B
325,panda wangi,6.3,1.3,putih,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
326,ciheran,7.2,2.3,putih,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
327,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,penggerek batang,4,Grade C
328,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,wereng coklat,4,Grade C
329,Beras Merah,7.4,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
330,Beras Hitam,7.4,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
331,panda wangi,6.1,1.4,coklat,sangat pulen,SRI,Kemarau,Burung,5,Grade B
332,ciheran,7.3,2.2,putih,pulen,SRI,Kemarau,penggerek batang,5,Grade C
333,mi kongga,6.5,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
334,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
335,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,tikus,5,Grade C
336,Beras Hitam,7.1,6.2,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
337,panda wangi,6.2,1.2,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
338,ciheran,7.1,2.3,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
339,mi kongga,6.3,3.3,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
340,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,tikus,2,Grade C
341,Beras Merah,7.5,5.1,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
342,Beras Hitam,7.3,6.3,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
343,panda wangi,6.5,1.2,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
344,ciheran,7.5,2.3,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
345,mi kongga,6.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
346,IR 64,6.5,4.2,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
347,Beras Merah,7.2,5.1,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
348,Beras Hitam,7.1,6.3,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
349,panda wangi,6.3,1.1,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
350,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
351,mi kongga,6.2,3.3,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
352,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
353,Beras Merah,7.5,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
354,Beras Hitam,7.2,6.4,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
355,panda wangi,6.4,1.1,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
356,ciheran,7.2,2.4,putih,pulen,SRI,Kemarau,Burung,5,Grade C
357,mi kongga,6.4,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
358,IR 64,6.3,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
359,Beras Merah,7.2,5.2,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
360,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
361,panda wangi,6.4,1.4,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
362,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
363,mi kongga,6.5,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
364,IR 64,6.6,4.3,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
365,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
366,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
367,panda wangi,6.6,1.1,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
368,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
369,mi kongga,6.1,3.5,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
370,IR 64,6.4,4.5,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
371,Beras Merah,7.5,5.5,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
372,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
373,panda wangi,6.1,1.3,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
374,ciheran,7.4,2.3,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
375,mi kongga,6.2,3.3,putih,sangat pulen,SRI,Hujan,tikus,4,Grade C
376,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,Burung,4,Grade C
377,Beras Merah,7.2,5.2,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
378,Beras Hitam,7.5,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
379,panda wangi,6.3,1.4,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
380,ciheran,7.5,2.2,putih,pulen,SRI,Kemarau,tikus,5,Grade C
381,mi kongga,6.3,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
382,IR 64,6.2,4.2,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
383,Beras Merah,7.1,5.3,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
384,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
385,panda wangi,6.2,1.3,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
386,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
387,mi kongga,6.4,3.3,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
388,IR 64,6.2,4.2,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
389,Beras Merah,7.1,1.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
390,Beras Hitam,7.3,6.5,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
391,panda wangi,6.3,1.2,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
392,ciheran,7.3,2.2,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
393,mi kongga,6.4,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
394,IR 64,6.2,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
395,Beras Merah,7.1,5.3,merah,sangat pulen,SRI,Kemarau,tikus,3,Grade C
396,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,Burung,3,Grade C
397,panda wangi,6.1,1.4,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
398,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
399,mi kongga,6.5,3.2,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
400,IR 64,6.2,4.2,putih,pulen,SRI,Hujan,tikus,4,Grade C
401,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
402,Beras Hitam,7.4,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
403,panda wangi,6.2,1.3,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
404,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
405,mi kongga,6.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
406,IR 64,6.5,4.2,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
407,Beras Merah,7.2,1.2,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
408,Beras Hitam,7.3,6.5,hitam,pulen,SRI,Kemarau,wereng coklat,5,Grade B
409,panda wangi,6.2,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
410,ciheran,7.2,2.2,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
411,mi kongga,6.1,3.2,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
412,IR 64,6.1,4.3,putih,pulen,SRI,Hujan,penggerek batang,2,Grade D
413,Beras Merah,7.3,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
414,Beras Hitam,7.5,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
415,panda wangi,6.1,1.4,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
416,ciheran,7.4,2.2,putih,pulen,SRI,Kemarau,Burung,3,Grade D
417,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
418,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
419,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
420,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
421,panda wangi,6.1,1.3,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
422,ciheran,7.1,2.3,putih,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
423,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
424,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
425,Beras Merah,7.4,1.2,merah,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
426,Beras Hitam,7.2,6.5,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
427,panda wangi,6.4,1.2,coklat,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade A
428,ciheran,7.1,2.2,putih,pulen,SRI,Kemarau,wereng coklat,5,Grade B
429,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
430,IR 64,6.3,4.3,putih,pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
431,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,Burung,5,Grade C
432,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,5,Grade B
433,panda wangi,6,1.1,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade D
434,ciheran,7.1,2.2,putih,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
435,mi kongga,6.3,3.3,putih,sangat pulen,SRI,Hujan,tikus,2,Grade C
436,IR 64,6.3,4.3,putih,pulen,SRI,Hujan,Burung,2,Grade C
437,Beras Merah,7.4,5.2,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
438,Beras Hitam,7.3,6.4,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
439,panda wangi,6.3,1.1,coklat,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
440,ciheran,7.1,2.4,putih,pulen,SRI,Kemarau,tikus,3,Grade D
441,mi kongga,6.5,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
442,IR 64,6.3,4.3,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
443,Beras Merah,7.2,5.2,merah,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade C
444,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,3,Grade B
445,panda wangi,6.2,1.4,putih,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
446,ciheran,7.1,2.2,putih,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
447,mi kongga,6.3,3.2,putih,sangat pulen,SRI,Hujan,penggerek batang,4,Grade C
448,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,wereng coklat,4,Grade C
449,Beras Merah,7.5,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
450,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
451,panda wangi,6.5,1.1,coklat,sangat pulen,SRI,Kemarau,Burung,5,Grade B
452,ciheran,7.5,2.3,putih,pulen,SRI,Kemarau,penggerek batang,5,Grade C
453,mi kongga,6.2,3.5,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
454,IR 64,6.5,4.5,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
455,Beras Merah,7.2,5.5,merah,sangat pulen,SRI,Kemarau,tikus,5,Grade C
456,Beras Hitam,7.1,6.2,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
457,panda wangi,6.3,1.3,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
458,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
459,mi kongga,6.2,3.3,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
460,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,tikus,2,Grade C
461,Beras Merah,7.5,5.2,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
462,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
463,panda wangi,6.4,1.4,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
464,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
465,mi kongga,6.4,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
466,IR 64,6.3,4.2,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
467,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
468,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
469,panda wangi,6.4,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
470,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
471,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
472,IR 64,6.6,4.2,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
473,Beras Merah,7.2,5.1,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
474,Beras Hitam,7.3,6.3,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
475,panda wangi,6.6,1.2,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
476,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,Burung,5,Grade C
477,mi kongga,6.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
478,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
479,Beras Merah,7.5,5.1,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
480,Beras Hitam,7.3,6.3,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
481,panda wangi,6.1,1.1,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
482,ciheran,7.4,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
483,mi kongga,6.2,3.3,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
484,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
485,Beras Merah,7.2,5.2,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
486,Beras Hitam,7.5,6.4,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
487,panda wangi,6.3,1.1,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
488,ciheran,7.5,2.4,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
489,mi kongga,6.3,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
490,IR 64,6.2,4.3,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
491,Beras Merah,7.1,5.2,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
492,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
493,panda wangi,6.2,1.4,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
494,ciheran,7.4,2.2,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
495,mi kongga,6.1,3.2,putih,sangat pulen,SRI,Hujan,tikus,4,Grade C
496,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,Burung,4,Grade C
497,Beras Merah,7.3,5.3,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
498,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
499,panda wangi,6.1,1.1,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
500,ciheran,7.1,2.3,putih,pulen,SRI,Kemarau,tikus,5,Grade C
501,mi kongga,6.5,3.5,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
502,IR 64,6.3,4.5,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
503,Beras Merah,7.4,5.5,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
504,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
505,panda wangi,6.1,1.3,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
506,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
507,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
508,IR 64,6.2,4.2,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
509,Beras Merah,7.4,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
510,Beras Hitam,7.1,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
511,panda wangi,6.4,1.4,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
512,ciheran,7.4,2.2,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
513,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
514,IR 64,6.1,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
515,Beras Merah,7.4,5.3,merah,sangat pulen,SRI,Kemarau,tikus,3,Grade C
516,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,Burung,3,Grade C
517,panda wangi,6.3,1.3,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
518,ciheran,7.1,2.3,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
519,mi kongga,6.3,3.3,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
520,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,tikus,4,Grade C
521,Beras Merah,7.5,1.2,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
522,Beras Hitam,7.3,6.5,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
523,panda wangi,6.5,1.2,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
524,ciheran,7.5,2.2,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
525,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
526,IR 64,6.5,4.3,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
527,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
528,Beras Hitam,7.1,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,5,Grade B
529,panda wangi,6.3,1.4,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
530,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
531,mi kongga,6.2,3.2,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
532,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,penggerek batang,2,Grade D
533,Beras Merah,7.5,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
534,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
535,panda wangi,6.4,1.3,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
536,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,Burung,3,Grade D
537,mi kongga,6.4,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
538,IR 64,6.3,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
539,Beras Merah,7.2,1.2,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
540,Beras Hitam,7.4,6.5,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
541,panda wangi,6.4,1.2,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
542,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
543,mi kongga,6.5,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
544,IR 64,6.6,4.3,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
545,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
546,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
547,panda wangi,6.6,1.4,coklat,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade A
548,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,wereng coklat,5,Grade B
549,mi kongga,6.1,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
550,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
551,Beras Merah,7.5,5.3,merah,sangat pulen,SRI,Kemarau,Burung,5,Grade C
552,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,5,Grade B
553,panda wangi,6.2,1.3,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade D
554,ciheran,7.1,2.3,putih,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
555,mi kongga,6.3,3.3,putih,sangat pulen,SRI,Hujan,tikus,2,Grade C
556,IR 64,6.2,4.2,putih,pulen,SRI,Hujan,Burung,2,Grade C
557,Beras Merah,7.2,1.2,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
558,Beras Hitam,7.1,6.5,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
559,panda wangi,6.2,1.2,coklat,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
